ACCIDENT_NO,NODE_ID,NODE_TYPE,VICGRID94_X,VICGRID94_Y,LGA_NAME,LGA_NAME_ALL,REGION_NAME,DEG_URBAN_NAME,Lat,Long,POSTCODE_NO,ACCIDENTDATE,ACCIDENTTIME,ACCIDENT_TYPE,Accident Type Desc,DAY_OF_WEEK,Day Week Description,DCA_CODE,DCA Description,DIRECTORY,EDITION,PAGE,GRID_REFERENCE_X,GRID_REFERENCE_Y,LIGHT_CONDITION,Light Condition Desc,NODE_ID,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,Road Geometry Desc,SEVERITY,SPEED_ZONE
T20060000010,43078,I,2519154.655,2390265.154,DANDENONG,DANDENONG,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.98862218,145.218049,3175,13/1/06,12:42:00,1,Collision with vehicle,6,Friday,113,RIGHT NEAR (INTERSECTIONS ONLY)               ,MEL,40,91A,G,7,1,Day,43078,3,6,0,1,0,5,1,1,Cross intersection,3,60
T20060000018,29720,N,2524272.743,2389996.817,CASEY,CASEY,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.99091999,145.2763198,3804,13/1/06,19:10:00,1,Collision with vehicle,6,Friday,113,RIGHT NEAR (INTERSECTIONS ONLY)               ,MEL,40,91,H,8,1,Day,29720,2,4,0,1,0,3,1,2,T intersection,3,70
T20060000022,203074,N,2487321.693,2345019.925,MORNINGTON PENINSULA,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,RURAL_VICTORIA,-38.39631987,144.85489,3939,14/1/06,12:10:00,7,Fall from or in moving vehicle,7,Saturday,190,FELL IN/FROM VEHICLE                    ,MEL,40,169,C,11,1,Day,203074,1,2,1,0,0,1,1,5,Not at intersection,2,100
T20060000023,55462,I,2512734.12,2390214.959,DANDENONG,"DANDENONG,KINGSTON",METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.98918469,145.1449612,3172,14/1/06,11:49:00,1,Collision with vehicle,7,Saturday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,88,J,8,1,Day,55462,2,2,1,0,0,1,1,2,T intersection,2,80
T20060000023,55462,I,2512734.12,2390214.959,DANDENONG,"DANDENONG,KINGSTON",METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.98918469,145.1449612,3173,14/1/06,10:45:00,1,Collision with vehicle,7,Saturday,121,RIGHT THROUGH                        ,MEL,40,169,G,5,1,Day,202988,2,3,0,3,0,0,1,5,Not at intersection,3,50
T20060000026,202988,N,2488777.663,2347612.069,MORNINGTON PENINSULA,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.37299015,144.8715943,3940,14/1/06,16:15:00,1,Collision with vehicle,7,Saturday,116,LEFT NEAR (INTERSECTIONS ONLY)               ,MEL,40,146,G,2,1,Day,277431,2,2,1,0,0,1,1,1,Cross intersection,2,100
T20060000028,277431,N,2508117.15,2363427.158,MORNINGTON PENINSULA,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.2305624,145.0927,3931,15/1/06,10:55:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,VCS,9,704,A,4,1,Day,203045,1,1,1,0,0,0,1,5,Not at intersection,2,100
T20060000035,203045,N,2579241.448,2372064.763,BAW BAW,BAW BAW,EASTERN REGION,RURAL_VICTORIA,-38.14939748,145.903995,3820,15/1/06,22:00:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,103,B,5,3,Dark Street lights on,203047,1,1,1,0,0,0,1,5,Not at intersection,2,70
T20060000042,203047,N,2514148.093,2371918.397,FRANKSTON,FRANKSTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.15399731,145.1614105,3199,16/1/06,8:55:00,1,Collision with vehicle,2,Monday,140,U TURN                           ,MEL,40,90,E,11,1,Day,35621,3,5,2,2,0,1,1,2,T intersection,2,80
T20060000044,35621,I,2519124.787,2388749.445,DANDENONG,DANDENONG,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.00227826,145.2177484,3175,16/1/06,11:00:00,2,Struck Pedestrian,2,Monday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,MEL,40,99,D,3,1,Day,205206,1,2,0,1,0,1,1,5,Not at intersection,3,60
