"ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","Accident Type Desc","Day Week Description","Light Condition Desc","NO_OF_VEHICLES","NO_PERSONS","Road Geometry Desc","SEVERITY","SPEED_ZONE","VEHICLE_ID","VEHICLE_YEAR_MANUF","VEHICLE_BODY_STYLE","VEHICLE_MAKE","Vehicle Type Desc","SEX","AGE","Age Group","Road User Type Desc"
"T20190000009","1/1/19",02:16:00,"Collision with a fixed object","Tuesday","Dark Street lights on",1,1,"T intersection",2,60,"A",1997,"SEDAN","HOLDEN","Car","M",26,"26-29","Drivers"
"T20190000010","1/1/19",03:00:00,"Collision with a fixed object","Tuesday","Dark No street lights",1,1,"Not at intersection",3,70,"A",2004,"WAGON","TOYOTA","Station Wagon","F",48,"40-49","Drivers"
"T20190000011","1/1/19",02:45:00,"Collision with a fixed object","Tuesday","Dark Street lights on",1,2,"Not at intersection",3,50,"A",2003,"SEDAN","FORD","Car","U",NA,"unknown","Drivers"
"T20190000015","1/1/19",06:00:00,"Collision with a fixed object","Tuesday","Day",1,1,"Not at intersection",2,100,"A",2007,"SEDAN","HOLDEN","Car","M",26,"26-29","Drivers"
"T20190000019","1/1/19",06:00:00,"Collision with a fixed object","Tuesday","Day",3,1,"T intersection",3,50,"A",2011,"SEDAN","HOLDEN","Car","M",22,"22-25","Drivers"
"T20190000021","1/1/19",08:27:00,"Collision with a fixed object","Tuesday","Day",1,1,"T intersection",2,50,"A",2007,"SEDAN","KIA","Car","F",44,"40-49","Drivers"
"T20190000022","1/1/19",07:45:00,"Collision with a fixed object","Tuesday","Day",1,1,"Not at intersection",3,100,"A",2009,"SEDAN","MAZDA","Car","F",18,"17-21","Drivers"
"T20190000023","1/1/19",07:28:00,"No collision and no object struck","Tuesday","Day",1,1,"Not at intersection",2,100,"A",2005,"SEDAN","CITRN","Car","F",26,"26-29","Drivers"
"T20190000025","1/1/19",10:38:00,"Struck Pedestrian","Tuesday","Day",1,2,"Cross intersection",3,60,"A",2012,"SED","TOYOTA","Taxi","M",35,"30-39","Drivers"
"T20190000030","1/1/19",12:15:00,"Vehicle overturned (no collision)","Tuesday","Day",1,1,"Not at intersection",3,100,"A",2007,"WAGON","SUZUKI","Station Wagon","M",19,"17-21","Drivers"
