"ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","Accident Type Desc","Day Week Description","Light Condition Desc","NO_OF_VEHICLES","NO_PERSONS","Road Geometry Desc","SEVERITY","SPEED_ZONE","LGA_NAME","REGION_NAME","Lat","Long","Surface Cond Desc","Atmosph Cond Desc"
"T20190000009","1/1/19",02:16:00,"Collision with a fixed object","Tuesday","Dark Street lights on",1,1,"T intersection",2,60,"CASEY","METROPOLITAN SOUTH EAST REGION",-38.04192998,145.2658998,"Dry","Clear"
"T20190000010","1/1/19",03:00:00,"Collision with a fixed object","Tuesday","Dark No street lights",1,1,"Not at intersection",3,70,"YARRA RANGES","METROPOLITAN SOUTH EAST REGION",-37.53510589,145.4145682,"Dry","Clear"
"T20190000011","1/1/19",02:45:00,"Collision with a fixed object","Tuesday","Dark Street lights on",1,2,"Not at intersection",3,50,"FRANKSTON","METROPOLITAN SOUTH EAST REGION",-38.12361343,145.1653725,"Dry","Clear"
"T20190000015","1/1/19",06:00:00,"Collision with a fixed object","Tuesday","Day",1,1,"Not at intersection",2,100,"KNOX","METROPOLITAN SOUTH EAST REGION",-37.86743012,145.211486,"Dry","Clear"
"T20190000019","1/1/19",06:00:00,"Collision with a fixed object","Tuesday","Day",3,1,"T intersection",3,50,"WHITTLESEA","METROPOLITAN NORTH WEST REGION",-37.63302142,145.0851911,"Dry","Clear"
"T20190000021","1/1/19",08:27:00,"Collision with a fixed object","Tuesday","Day",1,1,"T intersection",2,50,"BAYSIDE","METROPOLITAN SOUTH EAST REGION",-37.9217913,145.0055018,"Dry","Clear"
"T20190000022","1/1/19",07:45:00,"Collision with a fixed object","Tuesday","Day",1,1,"Not at intersection",3,100,"GEELONG","SOUTH WESTERN REGION",-38.05986932,144.3848669,"Dry","Clear"
"T20190000023","1/1/19",07:28:00,"No collision and no object struck","Tuesday","Day",1,1,"Not at intersection",2,100,"HEPBURN","WESTERN REGION",-37.38519829,144.006689,"Dry","Clear"
"T20190000025","1/1/19",10:38:00,"Struck Pedestrian","Tuesday","Day",1,2,"Cross intersection",3,60,"PORT PHILLIP","METROPOLITAN NORTH WEST REGION",-37.86021822,144.982489,"Dry","Clear"
"T20190000030","1/1/19",12:15:00,"Vehicle overturned (no collision)","Tuesday","Day",1,1,"Not at intersection",3,100,"MOYNE","SOUTH WESTERN REGION",-38.24043998,142.5406332,"Dry","Clear"
"T20190000031","1/1/19",13:52:00,"Collision with vehicle","Tuesday","Day",2,3,"Not at intersection",3,80,"GEELONG","SOUTH WESTERN REGION",-38.02990072,144.3543943,"Dry","Clear"
"T20190000035","1/1/19",15:15:00,"Collision with vehicle","Tuesday","Day",2,3,"T intersection",3,60,"MURRINDINDI","NORTH EASTERN REGION",-37.21356424,145.4161578,"Dry","Clear"
"T20190000036","1/1/19",15:10:00,"Collision with a fixed object","Tuesday","Day",1,1,"T intersection",3,50,"MORELAND","METROPOLITAN NORTH WEST REGION",-37.72921131,144.9462816,"Dry","Clear"
"T20190000037","1/1/19",15:50:00,"collision with some other object","Tuesday","Day",1,1,"Not at intersection",3,80,"MOIRA","NORTH EASTERN REGION",-35.82900959,145.5551701,"Dry","Clear"
"T20190000041","1/1/19",15:35:00,"Collision with vehicle","Tuesday","Day",2,5,"Cross intersection",2,80,"YARRA RANGES","METROPOLITAN SOUTH EAST REGION",-37.79485889,145.4569834,"Dry","Clear"
"T20190000048","1/1/19",13:25:00,"Collision with a fixed object","Tuesday","Day",1,1,"Not at intersection",2,50,"WHITTLESEA","METROPOLITAN NORTH WEST REGION",-37.69071263,145.0187763,"Dry","Clear"
"T20190000049","1/1/19",14:30:00,"Collision with a fixed object","Tuesday","Day",1,1,"Not at intersection",2,50,"MANSFIELD","NORTH EASTERN REGION",-37.03993015,146.4183295,"Dry","Clear"
"T20190000051","1/1/19",17:27:00,"Collision with vehicle","Tuesday","Day",4,1,"Not at intersection",2,50,"BAYSIDE","METROPOLITAN SOUTH EAST REGION",-37.94767144,145.0061697,"Dry","Clear"
"T20190000059","1/1/19",17:05:00,"Collision with a fixed object","Tuesday","Day",3,3,"Not at intersection",3,100,"MORNINGTON PENINSULA","METROPOLITAN SOUTH EAST REGION",-38.32433156,145.0008811,"Dry","Clear"
"T20190000060","1/1/19",19:12:00,"Collision with vehicle","Tuesday","Day",4,7,"Not at intersection",3,60,"MELTON","METROPOLITAN NORTH WEST REGION",-37.68719945,144.5676255,"Dry","Clear"
"T20190000063","1/1/19",04:50:00,"Collision with a fixed object","Tuesday","Dark Street lights on",1,1,"Cross intersection",2,80,"CASEY","METROPOLITAN SOUTH EAST REGION",-38.08229191,145.2765902,"Dry","Clear"
"T20190000064","1/1/19",20:50:00,"Struck animal","Tuesday","Dark No street lights",1,2,"Not at intersection",2,100,"WODONGA","NORTH EASTERN REGION",-36.21969116,146.9839988,"Dry","Clear"
"T20190000065","1/1/19",22:30:00,"Collision with vehicle","Tuesday","Dark Street lights on",2,3,"T intersection",2,60,"BRIMBANK","METROPOLITAN NORTH WEST REGION",-37.78537182,144.8273367,"Dry","Clear"
"T20190000067","1/1/19",03:05:00,"Collision with a fixed object","Tuesday","Dark Street lights on",1,1,"Not at intersection",2,60,"BENDIGO","NORTHERN REGION",-36.71121899,144.3149145,"Dry","Clear"
"T20190000070","1/1/19",16:30:00,"Collision with vehicle","Tuesday","Day",2,7,"Not at intersection",2,100,"SOUTHERN GRAMPIANS","SOUTH WESTERN REGION",-37.71443084,141.9584278,"Dry","Clear"
"T20190000071","1/1/19",23:00:00,"Collision with a fixed object","Tuesday","Dark Street lights on",1,1,"Not at intersection",2,100,"MOONEE VALLEY","METROPOLITAN NORTH WEST REGION",-37.73396965,144.9090798,"Dry","Clear"
"T20190000072","2/1/19",00:05:00,"Collision with vehicle","Wednesday","Dark Street lights on",2,3,"Cross intersection",3,80,"HUME","METROPOLITAN NORTH WEST REGION",-37.64382408,144.9288909,"Dry","Clear"
"T20190000074","2/1/19",01:45:00,"Collision with vehicle","Wednesday","Dark Street lights on",2,2,"T intersection",3,70,"MONASH","METROPOLITAN SOUTH EAST REGION",-37.89069838,145.1638654,"Dry","Clear"
"T20190000075","2/1/19",00:49:00,"Struck Pedestrian","Wednesday","Dark Street lights on",1,2,"T intersection",2,50,"WHITTLESEA","METROPOLITAN NORTH WEST REGION",-37.63481886,145.0148743,"Dry","Clear"
"T20190000076","2/1/19",04:40:00,"Collision with vehicle","Wednesday","Dark Street lights on",2,3,"Not at intersection",3,50,"DANDENONG","METROPOLITAN SOUTH EAST REGION",-37.95819052,145.1701001,"Dry","Clear"
"T20190000078","2/1/19",05:25:00,"Collision with vehicle","Wednesday","Dusk/Dawn",2,2,"Cross intersection",3,40,"WYNDHAM","METROPOLITAN NORTH WEST REGION",-37.8608752,144.6670219,"Dry","Clear"
"T20190000079","2/1/19",07:43:00,"Collision with vehicle","Wednesday","Day",2,2,"Cross intersection",3,50,"GEELONG","SOUTH WESTERN REGION",-38.13392261,144.3411119,"Dry","Clear"
"T20190000080","1/1/19",20:15:00,"Collision with a fixed object","Tuesday","Day",1,1,"Not at intersection",3,50,"LATROBE","EASTERN REGION",-38.18937957,146.5659367,"Dry","Clear"
